Time,Temp,Press,KE,PE,Etot,Vol
131.999,458.401054622401,-559.90444555458,177.699707379145,-14355.1497574723,-14177.4500500931,55068.4267138684
132.999,455.842552714134,-526.860135589715,176.707901108537,-14355.5282077523,-14178.8203066437,55062.7427967068
133.999,464.787206897562,1385.38222526019,180.175306811414,-14356.1279055002,-14175.9525986888,54946.2642268709
134.999,456.897907127092,-252.885275973425,177.117010486608,-14350.621874616,-14173.5048641294,55064.8868536023
135.999,454.713928889068,-533.724567352108,176.27038875678,-14354.594318084,-14178.3239293273,55065.3955288314
136.999,463.763540032219,58.4679120490024,179.778481148404,-14356.2791718767,-14176.5006907283,55023.1281700841
137.999,475.555299859444,2825.704975405,184.349570699035,-14352.0312740765,-14167.6817033775,54895.6998335209
138.999,466.415398862074,144.03171984314,180.806477339346,-14354.5076058673,-14173.701128528,55032.0610218179
139.999,463.36045305028,-1047.71004105356,179.622224006286,-14355.2225422302,-14175.6003182239,55090.9081751545
140.999,467.982837760863,-314.474617405993,181.414096869975,-14350.4108621708,-14168.9967653009,55074.9787490511
141.999,463.728292393924,-467.539965055244,179.764817360008,-14352.1244077577,-14172.3595903977,55068.8474774991
142.999,483.920106453784,1358.22203591635,187.592197802766,-14343.9976504551,-14156.4054526523,55025.4277267728
143.999,471.306615722232,786.060523481056,182.702563301657,-14350.1744547207,-14167.4718914191,55023.0487481062
144.999,479.576705373659,-385.602235737657,185.908473271189,-14346.5406217156,-14160.6321484444,55111.6299825159
145.999,465.517563971376,-1013.08851445741,180.458430589142,-14349.9261126874,-14169.4676820982,55114.154472813
146.999,490.572557507328,702.869593436955,190.171028269338,-14344.7319357994,-14154.5609075301,55061.5124828991
147.999,473.070995878896,101.849164934571,183.386527342279,-14347.2165206364,-14163.8299932941,55079.6523273242
148.999,474.995682208574,-1762.91197637684,184.132634259206,-14346.8286683625,-14162.6960341033,55184.613298041
149.999,468.193838590694,770.311216616952,181.495891589555,-14345.7934589627,-14164.2975673731,55041.1274017492
150.999,485.683515234515,467.715586562045,188.275785288366,-14344.5191393747,-14156.2433540863,55072.8722632112
151.999,497.306511842493,-1511.2512267501,192.781453578784,-14347.178689643,-14154.3972360643,55170.3568210923
152.999,495.174287192203,430.689053736302,191.954894188045,-14339.0697075483,-14147.1148133603,55105.7263504755
153.999,498.134746496348,1305.99187782357,193.102519715407,-14351.0704978103,-14157.9679780949,54995.6386393738
154.999,496.597552593938,-448.961461549745,192.506624693158,-14343.3124314734,-14150.8058067802,55128.9072432822
155.999,482.690978942377,-396.657642036067,187.115725078923,-14340.7663576321,-14153.6506325532,55143.0935478674
156.999,504.375390953551,35.506047294988,195.521712871094,-14343.4098757127,-14147.8881628416,55110.9711668687
